year,city_avg,global_avg
1750,10.49,8.72
1751,11.19,7.98
1752,4.50,5.78
1753,10.04,8.39
1754,10.64,8.47
1755,7.41,8.36
1756,11.15,8.85
1757,9.50,9.02
1758,8.61,6.74
1759,9.59,7.99
1760,8.05,7.19
1761,10.40,8.77
1762,9.82,8.61
1763,7.72,7.50
1764,10.63,8.40
1765,9.78,8.25
1766,10.49,8.41
1767,9.41,8.22
1768,8.95,6.78
1769,9.79,7.69
1770,9.66,7.69
1771,10.44,7.85
1772,10.27,8.19
1773,10.42,8.22
1774,10.27,8.77
1775,10.99,9.18
1776,9.98,8.30
1777,9.67,8.26
1778,7.63,8.54
1779,10.32,8.98
1780,12.54,9.43
1781,10.18,8.10
1782,9.69,7.90
1783,9.44,7.68
1784,9.40,7.86
1785,9.20,7.36
1786,9.75,8.26
1787,9.78,8.03
1788,10.28,8.45
1789,10.03,8.33
1790,9.93,7.98
1791,10.12,8.23
1792,9.62,8.09
1793,10.20,8.23
1794,10.30,8.53
1795,10.01,8.35
1796,9.92,8.27
1797,9.66,8.51
1798,10.43,8.67
1799,10.11,8.51
1800,10.11,8.48
1801,10.47,8.59
1802,10.66,8.58
1803,10.48,8.50
1804,10.41,8.84
1805,10.63,8.56
1806,10.10,8.43
1807,9.88,8.28
1808,9.84,7.63
1809,9.04,7.08
1810,9.22,6.92
1811,9.37,6.86
1812,8.34,7.05
1813,9.67,7.74
1814,9.55,7.59
1815,8.86,7.24
1816,8.27,6.94
1817,8.54,6.98
1818,9.42,7.83
1819,9.19,7.37
1820,9.02,7.62
1821,9.08,8.09
1822,9.87,8.19
1823,9.31,7.72
1824,9.57,8.55
1825,10.87,8.39
1826,10.19,8.36
1827,10.58,8.81
1828,11.00,8.17
1829,9.94,7.94
1830,11.11,8.52
1831,9.02,7.64
1832,10.33,7.45
1833,10.70,8.01
1834,10.92,8.15
1835,9.44,7.39
1836,8.68,7.70
1837,9.42,7.38
1838,8.81,7.51
1839,10.57,7.63
1840,10.24,7.80
1841,9.83,7.69
1842,10.32,8.02
1843,8.78,8.17
1844,10.28,7.65
1845,10.60,7.85
1846,11.29,8.55
1847,9.23,8.09
1848,9.77,7.98
1849,9.34,7.98
1850,9.89,7.90
1851,10.17,8.18
1852,9.82,8.10
1853,10.21,8.04
1854,10.96,8.21
1855,9.71,8.11
1856,8.66,8.00
1857,8.76,7.76
1858,10.53,8.10
1859,9.76,8.25
1860,9.75,7.96
1861,9.62,7.85
1862,9.36,7.56
1863,9.73,8.11
1864,9.35,7.98
1865,9.92,8.18
1866,9.05,8.29
1867,9.43,8.44
1868,8.88,8.25
1869,8.73,8.43
1870,10.55,8.20
1871,9.91,8.12
1872,8.72,8.19
1873,8.84,8.35
1874,10.18,8.43
1875,7.80,7.86
1876,9.69,8.08
1877,10.68,8.54
1878,11.31,8.83
1879,10.11,8.17
1880,10.46,8.12
1881,10.25,8.27
1882,10.38,8.13
1883,8.42,7.98
1884,9.35,7.77
1885,7.96,7.92
1886,9.40,7.95
1887,9.64,7.91
1888,8.74,8.09
1889,10.02,8.32
1890,10.21,7.97
1891,10.29,8.02
1892,9.21,8.07
1893,8.91,8.06
1894,10.79,8.16
1895,9.32,8.15
1896,10.39,8.21
1897,10.05,8.29
1898,10.24,8.18
1899,10.12,8.40
1900,10.63,8.50
1901,9.87,8.54
1902,10.04,8.30
1903,9.57,8.22
1904,8.56,8.09
1905,9.42,8.23
1906,10.56,8.38
1907,9.32,7.95
1908,10.68,8.19
1909,9.89,8.18
1910,10.20,8.22
1911,10.87,8.18
1912,8.95,8.17
1913,10.83,8.30
1914,10.20,8.59
1915,9.98,8.59
1916,9.84,8.23
1917,8.06,8.02
1918,10.06,8.13
1919,10.64,8.38
1920,9.83,8.36
1921,12.28,8.57
1922,10.92,8.41
1923,10.12,8.42
1924,8.77,8.51
1925,9.93,8.53
1926,9.12,8.73
1927,10.54,8.52
1928,10.21,8.63
1929,9.28,8.24
1930,10.79,8.63
1931,12.39,8.72
1932,10.61,8.71
1933,11.09,8.34
1934,10.87,8.63
1935,10.01,8.52
1936,9.86,8.55
1937,9.99,8.70
1938,11.40,8.86
1939,11.35,8.76
1940,9.67,8.76
1941,11.41,8.77
1942,10.41,8.73
1943,9.72,8.76
1944,10.82,8.85
1945,9.96,8.58
1946,11.40,8.68
1947,10.22,8.80
1948,10.41,8.75
1949,11.18,8.59
1950,9.43,8.37
1951,9.42,8.63
1952,10.91,8.64
1953,11.67,8.87
1954,11.11,8.56
1955,11.01,8.63
1956,10.72,8.28
1957,10.42,8.73
1958,9.90,8.77
1959,10.43,8.73
1960,10.11,8.58
1961,10.58,8.80
1962,9.99,8.75
1963,9.89,8.86
1964,11.06,8.41
1965,10.34,8.53
1966,10.05,8.60
1967,9.84,8.70
1968,10.66,8.52
1969,10.03,8.60
1970,10.34,8.70
1971,10.58,8.60
1972,9.39,8.50
1973,11.55,8.95
1974,10.35,8.47
1975,10.82,8.74
1976,9.79,8.35
1977,10.46,8.85
1978,9.46,8.69
1979,9.37,8.73
1980,10.05,8.98
1981,10.54,9.17
1982,9.99,8.64
1983,10.94,9.03
1984,10.66,8.69
1985,10.11,8.66
1986,10.82,8.83
1987,12.04,8.99
1988,10.86,9.20
1989,9.80,8.92
1990,11.50,9.23
1991,11.58,9.18
1992,10.24,8.84
1993,10.18,8.87
1994,10.56,9.04
1995,10.57,9.35
1996,9.56,9.04
1997,10.14,9.20
1998,12.81,9.52
1999,11.72,9.29
2000,11.09,9.20
2001,11.70,9.41
2002,11.53,9.57
2003,10.48,9.53
2004,10.94,9.32
2005,11.58,9.70
2006,11.87,9.53
2007,11.45,9.73
2008,10.24,9.43
2009,10.30,9.51
2010,11.82,9.70
2011,11.21,9.52
2012,12.82,9.51
2013,11.59,9.61
